Date,Crypto,Open,High,Low,Close,Volume
2018-04-01,Bitcoin,7003.06,7060.95,6526.87,6844.23,4532100096.0
2018-04-02,Bitcoin,6844.86,7135.47,6816.58,7083.8,4333440000.0
2018-04-03,Bitcoin,7102.26,7530.94,7072.49,7456.11,5499700224.0
2018-04-04,Bitcoin,7456.41,7469.88,6803.88,6853.84,4936000000.0
2018-04-05,Bitcoin,6848.65,6933.82,6644.8,6811.47,5639320064.0
2018-04-06,Bitcoin,6815.96,6857.49,6575.0,6636.32,3766810112.0
2018-04-07,Bitcoin,6630.51,7050.54,6630.51,6911.09,3976610048.0
2018-04-08,Bitcoin,6919.98,7111.56,6919.98,7023.52,3652499968.0
2018-04-09,Bitcoin,7044.32,7178.11,6661.99,6770.73,4894060032.0
2018-04-10,Bitcoin,6795.44,6872.41,6704.15,6834.76,4272750080.0
2018-04-11,Bitcoin,6843.47,6968.32,6817.59,6968.32,4641889792.0
2018-04-12,Bitcoin,6955.38,7899.23,6806.51,7889.25,8906250240.0
2018-04-13,Bitcoin,7901.09,8183.96,7758.93,7895.96,7764460032.0
2018-04-14,Bitcoin,7874.67,8140.71,7846.0,7986.24,5191430144.0
2018-04-15,Bitcoin,7999.33,8338.42,7999.33,8329.11,5244480000.0
2018-04-16,Bitcoin,8337.57,8371.15,7925.73,8058.67,5631309824.0
2018-04-17,Bitcoin,8071.66,8285.96,7881.72,7902.09,6900879872.0
2018-04-18,Bitcoin,7944.43,8197.8,7886.01,8163.42,6529909760.0
2018-04-19,Bitcoin,8159.27,8298.69,8138.78,8294.31,7063209984.0
2018-04-20,Bitcoin,8286.88,8880.23,8244.54,8845.83,8438110208.0
2018-04-21,Bitcoin,8848.79,8997.57,8652.15,8895.58,7548550144.0
2018-04-22,Bitcoin,8925.06,9001.64,8779.61,8802.46,6629899776.0
2018-04-23,Bitcoin,8794.39,8958.55,8788.81,8930.88,6925190144.0
2018-04-24,Bitcoin,8934.34,9732.61,8927.83,9697.5,10678800384.0
2018-04-25,Bitcoin,9701.03,9745.32,8799.84,8845.74,11083100160.0
2018-04-26,Bitcoin,8867.32,9281.51,8727.09,9281.51,8970559488.0
2018-04-27,Bitcoin,9290.63,9375.47,8987.05,8987.05,7566289920.0
2018-04-28,Bitcoin,8939.27,9412.09,8931.99,9348.48,7805479936.0
2018-04-29,Bitcoin,9346.41,9531.49,9193.71,9419.08,8853000192.0
2018-04-30,Bitcoin,9426.11,9477.14,9166.81,9240.55,8673920000.0
2018-05-01,Bitcoin,9251.47,9255.88,8891.05,9119.01,7713019904.0
2018-05-02,Bitcoin,9104.6,9256.52,9015.14,9235.92,7558159872.0
2018-05-03,Bitcoin,9233.97,9798.33,9188.15,9743.86,10207299584.0
2018-05-04,Bitcoin,9695.5,9779.2,9585.96,9700.76,8217829888.0
2018-05-05,Bitcoin,9700.28,9964.5,9695.12,9858.15,7651939840.0
2018-05-06,Bitcoin,9845.31,9940.14,9465.25,9654.8,7222280192.0
2018-05-07,Bitcoin,9645.67,9665.85,9231.53,9373.01,7394019840.0
2018-05-08,Bitcoin,9380.87,9462.75,9127.77,9234.82,7415869952.0
2018-05-09,Bitcoin,9223.73,9374.76,9031.62,9325.18,7226890240.0
2018-05-10,Bitcoin,9325.96,9396.04,9040.52,9043.94,6906699776.0
2018-05-11,Bitcoin,9052.96,9052.96,8394.46,8441.49,8488520192.0
2018-05-12,Bitcoin,8441.44,8664.86,8223.5,8504.89,6821380096.0
2018-05-13,Bitcoin,8515.49,8773.55,8395.12,8723.94,5866379776.0
2018-05-14,Bitcoin,8713.1,8881.12,8367.97,8716.79,7364149760.0
2018-05-15,Bitcoin,8705.19,8836.19,8456.45,8510.38,6705710080.0
2018-05-16,Bitcoin,8504.41,8508.43,8175.49,8368.83,6760220160.0
2018-05-17,Bitcoin,8370.05,8445.54,8054.12,8094.32,5862530048.0
2018-05-18,Bitcoin,8091.83,8274.12,7974.82,8250.97,5764190208.0
2018-05-19,Bitcoin,8255.73,8372.06,8183.35,8247.18,4712399872.0
2018-05-20,Bitcoin,8246.99,8562.41,8205.24,8513.25,5191059968.0
2018-05-21,Bitcoin,8522.33,8557.52,8365.12,8418.99,5154990080.0
2018-05-22,Bitcoin,8419.87,8423.25,8004.58,8041.78,5137010176.0
2018-05-23,Bitcoin,8037.08,8054.66,7507.88,7557.82,6491120128.0
2018-05-24,Bitcoin,7561.12,7738.6,7331.14,7587.34,6049220096.0
2018-05-25,Bitcoin,7592.3,7659.14,7392.65,7480.14,4867829760.0
2018-05-26,Bitcoin,7486.48,7595.16,7349.12,7355.88,4051539968.0
2018-05-27,Bitcoin,7362.08,7381.74,7270.96,7368.22,4056519936.0
2018-05-28,Bitcoin,7371.31,7419.05,7100.89,7135.99,5040600064.0
2018-05-29,Bitcoin,7129.46,7526.42,7090.68,7472.59,5662660096.0
2018-05-30,Bitcoin,7469.73,7573.77,7313.6,7406.52,4922540032.0
2018-05-31,Bitcoin,7406.15,7608.9,7361.13,7494.17,5127130112.0
2018-06-01,Bitcoin,7500.7,7604.73,7407.34,7541.45,4921460224.0
2018-06-02,Bitcoin,7536.72,7695.83,7497.26,7643.45,4939299840.0
2018-06-03,Bitcoin,7632.09,7754.89,7613.04,7720.25,4851760128.0
2018-06-04,Bitcoin,7722.53,7753.82,7474.04,7514.47,4993169920.0
2018-06-05,Bitcoin,7500.9,7643.23,7397.0,7633.76,4961739776.0
2018-06-06,Bitcoin,7625.97,7680.43,7502.01,7653.98,4692259840.0
2018-06-07,Bitcoin,7650.82,7741.27,7650.82,7678.24,4485799936.0
2018-06-08,Bitcoin,7685.14,7698.19,7558.4,7624.92,4227579904.0
2018-06-09,Bitcoin,7632.52,7683.58,7531.98,7531.98,3845220096.0
2018-06-10,Bitcoin,7499.55,7499.55,6709.07,6786.02,5804839936.0
2018-06-11,Bitcoin,6799.29,6910.18,6706.63,6906.92,4745269760.0
2018-06-12,Bitcoin,6905.82,6907.96,6542.08,6582.36,4654380032.0
2018-06-13,Bitcoin,6596.88,6631.66,6285.63,6349.9,5052349952.0
2018-06-14,Bitcoin,6342.75,6707.14,6334.46,6675.35,5138710016.0
2018-06-15,Bitcoin,6674.08,6681.08,6433.87,6456.58,3955389952.0
2018-06-16,Bitcoin,6455.45,6592.49,6402.29,6550.16,3194170112.0
2018-06-17,Bitcoin,6545.53,6589.11,6499.27,6499.27,3104019968.0
2018-06-18,Bitcoin,6510.07,6781.14,6446.68,6734.82,4039200000.0
2018-06-19,Bitcoin,6742.39,6822.5,6709.92,6769.94,4057029888.0
